comparison,input,target,dataset,split,sequence_name,sensor,valid_frames,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,energy_a,energy_b,root_abs_mean_aM_rel,leakage_raw_corr,leakage_rel_corr
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_forearm,582,0.4647657871246338,0.6817373037338257,0.5236013531684875,1.0678340196609497,0.884219229221344,0.3338461220264435,0.782627284526825,0.6203625798225403,0.34791404008865356,0.602527379989624,1.7590168714523315,1.0743002891540527,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_forearm,582,0.4441503882408142,0.6664460897445679,0.5225937962532043,1.0572600364685059,0.8690358400344849,0.313083678483963,0.7818987369537354,0.6152707934379578,0.3510560989379883,0.6014546155929565,1.634304165840149,0.9492793679237366,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_lower_leg,582,0.43781402707099915,0.6616751551628113,0.513994574546814,1.0443980693817139,0.15901027619838715,0.0512271374464035,0.910047709941864,0.6120235323905945,0.33274391293525696,0.5972162485122681,1.0541558265686035,0.1492396593093872,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_lower_leg,582,0.41735032200813293,0.6460265517234802,0.501019299030304,1.0238316059112549,0.2593897581100464,0.15522553026676178,0.876620352268219,0.5973665714263916,0.31526651978492737,0.5904247760772705,1.0566306114196777,0.18707220256328583,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,head,582,0.44130122661590576,0.6643050909042358,0.5190874338150024,1.054616928100586,0.3016675114631653,0.2178070992231369,0.8493328094482422,0.6226690411567688,0.3579782247543335,0.576615035533905,1.1020652055740356,0.2645990550518036,0.0,0.9297205805778503,0.9185069799423218
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,pelvis,582,0.4277382493019104,0.6540170311927795,0.5074132680892944,1.0351847410202026,0.10113618522882462,0.06553290784358978,0.963202714920044,0.5797378420829773,0.34230002760887146,0.6002019047737122,1.0411189794540405,0.07885883748531342,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,overall,582,0.07328539341688156,0.2707127630710602,0.17259947955608368,0.3560270071029663,0.9323015213012695,0.31498780846595764,0.22700285911560059,0.2126348465681076,0.10156828910112381,0.20359531044960022,0.5514756441116333,0.45055824518203735,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_forearm,582,0.13854843378067017,0.3722209334373474,0.22345054149627686,0.4521600306034088,0.9661933779716492,0.4685499966144562,0.2899596691131592,0.27437886595726013,0.15355201065540314,0.24242083728313446,1.0451159477233887,1.0743002891540527,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_forearm,582,0.14719194173812866,0.38365602493286133,0.2317817360162735,0.47948989272117615,0.9503577351570129,0.40630969405174255,0.282428503036499,0.2694406807422638,0.14822953939437866,0.27767497301101685,0.9837403297424316,0.9492793679237366,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_lower_leg,582,0.04040858522057533,0.20101886987686157,0.149250790476799,0.30926603078842163,0.31321126222610474,0.1676926612854004,0.20522935688495636,0.193046435713768,0.07657576352357864,0.17813023924827576,0.30807992815971375,0.1492396593093872,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,right_lower_leg,582,0.038321759551763535,0.19575944542884827,0.1437663435935974,0.29714319109916687,0.5040631294250488,0.2909700274467468,0.18718096613883972,0.17011070251464844,0.08144697546958923,0.17974135279655457,0.31305617094039917,0.18707220256328583,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,head,582,0.04047665745019913,0.2011881172657013,0.14754807949066162,0.30850374698638916,0.6062533855438232,0.4394800364971161,0.18247130513191223,0.1961509734392166,0.07221845537424088,0.17427478730678558,0.3699152171611786,0.2645990550518036,0.0,0.9297205805778503,0.9185069799423218
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,pelvis,582,0.034765031188726425,0.18645383417606354,0.13979937136173248,0.28959932923316956,0.16534699499607086,0.11692416667938232,0.214747354388237,0.17268137633800507,0.07738696038722992,0.16932977735996246,0.2889464199542999,0.07885883748531342,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,overall,582,0.08713499456644058,0.2951863706111908,0.1785186380147934,0.3723485767841339,0.9185069799423218,0.25903335213661194,0.24027961492538452,0.22454804182052612,0.09531053155660629,0.21569733321666718,0.5660804510116577,0.45090925693511963,0.0,0.9297205805778503,0.9185069799423218
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,left_forearm,582,0.15611036121845245,0.39510804414749146,0.2533089518547058,0.5180734395980835,0.9581502676010132,0.37017473578453064,0.3255261778831482,0.31176793575286865,0.16244728863239288,0.2857115864753723,1.1116316318511963,1.0850789546966553,0.0,0.9297205805778503,0.9185069799423218
