group,mahalanobis,max_abs_z,ref,sequence_index_in_group
AMASS/all,25.74079095719235,,TotalCapture_train,187
ALL/all,25.74079095719235,,TotalCapture_train,187
AMASS/train,25.670258256463036,,TotalCapture_train,945
AMASS/all,25.670258256463036,,TotalCapture_train,945
ALL/all,25.670258256463036,,TotalCapture_train,945
AMASS/train,25.65982335020005,,TotalCapture_train,17
AMASS/all,25.65982335020005,,TotalCapture_train,17
ALL/all,25.65982335020005,,TotalCapture_train,17
AMASS/train,25.651758250504663,,TotalCapture_train,381
AMASS/all,25.651758250504663,,TotalCapture_train,381
ALL/all,25.651758250504663,,TotalCapture_train,381
AMASS/train,25.605265436882785,,TotalCapture_train,301
AMASS/all,25.605265436882785,,TotalCapture_train,301
ALL/all,25.605265436882785,,TotalCapture_train,301
AMASS/train,25.585330939012973,,TotalCapture_train,467
AMASS/all,25.585330939012973,,TotalCapture_train,467
ALL/all,25.585330939012973,,TotalCapture_train,467
AMASS/train,25.56618203692061,,TotalCapture_train,1105
AMASS/all,25.56618203692061,,TotalCapture_train,1105
ALL/all,25.56618203692061,,TotalCapture_train,1105
AMASS/train,25.552337144562614,,TotalCapture_train,65
AMASS/all,25.552337144562614,,TotalCapture_train,65
ALL/all,25.552337144562614,,TotalCapture_train,65
AMASS/train,25.52836737815411,,TotalCapture_train,299
AMASS/all,25.52836737815411,,TotalCapture_train,299
ALL/all,25.52836737815411,,TotalCapture_train,299
AMASS/train,25.522012140058134,,TotalCapture_train,1083
AMASS/all,25.522012140058134,,TotalCapture_train,1083
ALL/all,25.522012140058134,,TotalCapture_train,1083
AMASS/train,25.43502487849146,,TotalCapture_train,115
AMASS/all,25.43502487849146,,TotalCapture_train,115
ALL/all,25.43502487849146,,TotalCapture_train,115
AMASS/train,25.406850218253297,,TotalCapture_train,11
AMASS/all,25.406850218253297,,TotalCapture_train,11
ALL/all,25.406850218253297,,TotalCapture_train,11
AMASS/train,25.343895778058425,,TotalCapture_train,255
AMASS/all,25.343895778058425,,TotalCapture_train,255
ALL/all,25.343895778058425,,TotalCapture_train,255
AMASS/train,25.285392869514947,,TotalCapture_train,1019
AMASS/all,25.285392869514947,,TotalCapture_train,1019
ALL/all,25.285392869514947,,TotalCapture_train,1019
AMASS/train,25.281685844875927,,TotalCapture_train,361
AMASS/all,25.281685844875927,,TotalCapture_train,361
ALL/all,25.281685844875927,,TotalCapture_train,361
AMASS/train,25.23370364832789,,TotalCapture_train,531
AMASS/all,25.23370364832789,,TotalCapture_train,531
ALL/all,25.23370364832789,,TotalCapture_train,531
AMASS/train,25.232920417694874,,TotalCapture_train,783
AMASS/all,25.232920417694874,,TotalCapture_train,783
ALL/all,25.232920417694874,,TotalCapture_train,783
AMASS/train,25.21635701377091,,TotalCapture_train,1223
AMASS/all,25.21635701377091,,TotalCapture_train,1223
ALL/all,25.21635701377091,,TotalCapture_train,1223
AMASS/train,25.18944761289333,,TotalCapture_train,409
AMASS/all,25.18944761289333,,TotalCapture_train,409
ALL/all,25.18944761289333,,TotalCapture_train,409
AMASS/train,25.188521237492825,,TotalCapture_train,1269
AMASS/all,25.188521237492825,,TotalCapture_train,1269
ALL/all,25.188521237492825,,TotalCapture_train,1269
AMASS/train,25.18637578005691,,TotalCapture_train,57
AMASS/all,25.18637578005691,,TotalCapture_train,57
ALL/all,25.18637578005691,,TotalCapture_train,57
AMASS/train,25.15918962104617,,TotalCapture_train,1203
AMASS/all,25.15918962104617,,TotalCapture_train,1203
ALL/all,25.15918962104617,,TotalCapture_train,1203
AMASS/train,25.106404361925673,,TotalCapture_train,615
AMASS/all,25.106404361925673,,TotalCapture_train,615
ALL/all,25.106404361925673,,TotalCapture_train,615
AMASS/train,25.01108047760562,,TotalCapture_train,649
AMASS/all,25.01108047760562,,TotalCapture_train,649
ALL/all,25.01108047760562,,TotalCapture_train,649
AMASS/train,24.99697718476092,,TotalCapture_train,1081
AMASS/all,24.99697718476092,,TotalCapture_train,1081
ALL/all,24.99697718476092,,TotalCapture_train,1081
AMASS/train,24.995082623415183,,TotalCapture_train,159
AMASS/all,24.995082623415183,,TotalCapture_train,159
ALL/all,24.995082623415183,,TotalCapture_train,159
AMASS/train,24.98790274039005,,TotalCapture_train,1025
AMASS/all,24.98790274039005,,TotalCapture_train,1025
ALL/all,24.98790274039005,,TotalCapture_train,1025
AMASS/train,24.97300549732112,,TotalCapture_train,705
AMASS/all,24.97300549732112,,TotalCapture_train,705
ALL/all,24.97300549732112,,TotalCapture_train,705
AMASS/train,24.944730682654086,,TotalCapture_train,635
AMASS/all,24.944730682654086,,TotalCapture_train,635
ALL/all,24.944730682654086,,TotalCapture_train,635
AMASS/train,24.926078716795985,,TotalCapture_train,181
AMASS/all,24.926078716795985,,TotalCapture_train,181
ALL/all,24.926078716795985,,TotalCapture_train,181
AMASS/train,24.925792074398327,,TotalCapture_train,915
AMASS/all,24.925792074398327,,TotalCapture_train,915
ALL/all,24.925792074398327,,TotalCapture_train,915
AMASS/train,24.923772693601546,,TotalCapture_train,717
AMASS/all,24.923772693601546,,TotalCapture_train,717
ALL/all,24.923772693601546,,TotalCapture_train,717
AMASS/train,24.9015729479594,,TotalCapture_train,423
AMASS/all,24.9015729479594,,TotalCapture_train,423
ALL/all,24.9015729479594,,TotalCapture_train,423
AMASS/train,24.877653890790885,,TotalCapture_train,127
AMASS/all,24.877653890790885,,TotalCapture_train,127
ALL/all,24.877653890790885,,TotalCapture_train,127
ALL/all,24.87217881398974,,TotalCapture_train,1311
DIP/train,24.87217881398974,,TotalCapture_train,13
DIP/all,24.87217881398974,,TotalCapture_train,13
AMASS/train,24.858747336225058,,TotalCapture_train,1059
AMASS/all,24.858747336225058,,TotalCapture_train,1059
ALL/all,24.858747336225058,,TotalCapture_train,1059
AMASS/train,24.84991430996214,,TotalCapture_train,953
AMASS/all,24.84991430996214,,TotalCapture_train,953
ALL/all,24.84991430996214,,TotalCapture_train,953
AMASS/train,24.82568976001929,,TotalCapture_train,215
AMASS/all,24.82568976001929,,TotalCapture_train,215
ALL/all,24.82568976001929,,TotalCapture_train,215
AMASS/train,24.820457690212066,,TotalCapture_train,1295
AMASS/all,24.820457690212066,,TotalCapture_train,1295
ALL/all,24.820457690212066,,TotalCapture_train,1295
AMASS/train,24.799552949789923,,TotalCapture_train,551
AMASS/all,24.799552949789923,,TotalCapture_train,551
ALL/all,24.799552949789923,,TotalCapture_train,551
AMASS/train,24.7947018307157,,TotalCapture_train,609
AMASS/all,24.7947018307157,,TotalCapture_train,609
ALL/all,24.7947018307157,,TotalCapture_train,609
AMASS/train,24.75893496706687,,TotalCapture_train,745
AMASS/all,24.75893496706687,,TotalCapture_train,745
ALL/all,24.75893496706687,,TotalCapture_train,745
AMASS/train,24.71989407754608,,TotalCapture_train,841
AMASS/all,24.71989407754608,,TotalCapture_train,841
ALL/all,24.71989407754608,,TotalCapture_train,841
AMASS/train,24.69194829072623,,TotalCapture_train,523
AMASS/all,24.69194829072623,,TotalCapture_train,523
ALL/all,24.69194829072623,,TotalCapture_train,523
AMASS/train,24.68969506038836,,TotalCapture_train,677
AMASS/all,24.68969506038836,,TotalCapture_train,677
ALL/all,24.68969506038836,,TotalCapture_train,677
AMASS/train,24.66750817484912,,TotalCapture_train,1259
AMASS/all,24.66750817484912,,TotalCapture_train,1259
ALL/all,24.66750817484912,,TotalCapture_train,1259
AMASS/train,24.665678551702214,,TotalCapture_train,147
AMASS/all,24.665678551702214,,TotalCapture_train,147
ALL/all,24.665678551702214,,TotalCapture_train,147
ALL/all,24.653439426690518,,TotalCapture_train,1322
DIP/train,24.653439426690518,,TotalCapture_train,24
DIP/all,24.653439426690518,,TotalCapture_train,24
AMASS/train,24.58616845458747,,TotalCapture_train,125
AMASS/all,24.58616845458747,,TotalCapture_train,125
ALL/all,24.58616845458747,,TotalCapture_train,125
AMASS/train,24.58525911029043,,TotalCapture_train,1225
AMASS/all,24.58525911029043,,TotalCapture_train,1225
ALL/all,24.58525911029043,,TotalCapture_train,1225
AMASS/train,24.57126510082519,,TotalCapture_train,927
AMASS/all,24.57126510082519,,TotalCapture_train,927
ALL/all,24.57126510082519,,TotalCapture_train,927
AMASS/train,24.561141058882185,,TotalCapture_train,333
AMASS/all,24.561141058882185,,TotalCapture_train,333
ALL/all,24.561141058882185,,TotalCapture_train,333
AMASS/train,24.559308980485774,,TotalCapture_train,671
AMASS/all,24.559308980485774,,TotalCapture_train,671
ALL/all,24.559308980485774,,TotalCapture_train,671
AMASS/train,24.54880272301751,,TotalCapture_train,185
AMASS/all,24.54880272301751,,TotalCapture_train,185
ALL/all,24.54880272301751,,TotalCapture_train,185
AMASS/train,24.50682773572959,,TotalCapture_train,447
AMASS/all,24.50682773572959,,TotalCapture_train,447
ALL/all,24.50682773572959,,TotalCapture_train,447
AMASS/train,24.50370270872223,,TotalCapture_train,659
AMASS/all,24.50370270872223,,TotalCapture_train,659
ALL/all,24.50370270872223,,TotalCapture_train,659
AMASS/train,24.496106188282624,,TotalCapture_train,667
AMASS/all,24.496106188282624,,TotalCapture_train,667
ALL/all,24.496106188282624,,TotalCapture_train,667
AMASS/train,24.46889301298894,,TotalCapture_train,713
AMASS/all,24.46889301298894,,TotalCapture_train,713
ALL/all,24.46889301298894,,TotalCapture_train,713
AMASS/train,24.41098397935653,,TotalCapture_train,987
AMASS/all,24.41098397935653,,TotalCapture_train,987
ALL/all,24.41098397935653,,TotalCapture_train,987
AMASS/train,24.405459694234906,,TotalCapture_train,703
AMASS/all,24.405459694234906,,TotalCapture_train,703
ALL/all,24.405459694234906,,TotalCapture_train,703
AMASS/train,24.336820882251306,,TotalCapture_train,1213
AMASS/all,24.336820882251306,,TotalCapture_train,1213
ALL/all,24.336820882251306,,TotalCapture_train,1213
AMASS/train,24.334665943681077,,TotalCapture_train,341
AMASS/all,24.334665943681077,,TotalCapture_train,341
ALL/all,24.334665943681077,,TotalCapture_train,341
AMASS/train,24.324012868075148,,TotalCapture_train,899
AMASS/all,24.324012868075148,,TotalCapture_train,899
ALL/all,24.324012868075148,,TotalCapture_train,899
AMASS/train,24.28135938532256,,TotalCapture_train,345
AMASS/all,24.28135938532256,,TotalCapture_train,345
ALL/all,24.28135938532256,,TotalCapture_train,345
AMASS/train,24.2665307819295,,TotalCapture_train,557
AMASS/all,24.2665307819295,,TotalCapture_train,557
ALL/all,24.2665307819295,,TotalCapture_train,557
AMASS/train,24.244036673051045,,TotalCapture_train,773
AMASS/all,24.244036673051045,,TotalCapture_train,773
ALL/all,24.244036673051045,,TotalCapture_train,773
AMASS/train,24.23522544245785,,TotalCapture_train,5
AMASS/all,24.23522544245785,,TotalCapture_train,5
ALL/all,24.23522544245785,,TotalCapture_train,5
AMASS/train,24.2103826914812,,TotalCapture_train,1113
AMASS/all,24.2103826914812,,TotalCapture_train,1113
ALL/all,24.2103826914812,,TotalCapture_train,1113
AMASS/train,24.209687339481714,,TotalCapture_train,995
AMASS/all,24.209687339481714,,TotalCapture_train,995
ALL/all,24.209687339481714,,TotalCapture_train,995
AMASS/train,24.202246779582193,,TotalCapture_train,83
AMASS/all,24.202246779582193,,TotalCapture_train,83
ALL/all,24.202246779582193,,TotalCapture_train,83
AMASS/train,24.166479507293047,,TotalCapture_train,347
AMASS/all,24.166479507293047,,TotalCapture_train,347
