comparison,dataset,split,sequence_name,sensor,valid_frames,num_sequences,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,axis_rmse_x,axis_rmse_y,axis_rmse_z,energy_imu,energy_gt
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,left_forearm,238,1,5.710771855405028e-10,2.389722067164257e-05,1.1377605005691294e-05,2.3898761355667375e-05,1.0,1.0,1.6237945601460524e-05,7.518715392507147e-06,1.7021548046614043e-05,9.592549758963287e-06,2.2791165974922478e-05,2.2049873223295435e-05,2.6600700948620215e-05,2.3112399578094482,2.3112454414367676
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,right_forearm,238,1,3.6542024961505604e-09,6.044999827281572e-05,1.777011129888706e-05,3.51575217791833e-05,0.9999998807907104,1.0,1.0653109711711295e-05,9.497706741967704e-06,2.464325189066585e-05,1.9169381630490534e-05,3.677158019854687e-05,8.20885252323933e-05,5.359042188501917e-05,0.7008537650108337,0.7008568644523621
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,left_lower_leg,238,1,2.442213986597608e-09,4.941876250086352e-05,1.3585995475295931e-05,2.7579153538681567e-05,0.9999997615814209,1.0,1.4626342817791738e-05,7.05227057551383e-06,1.4288752936408855e-05,1.941696427820716e-05,2.0986917661502957e-05,3.355921580805443e-05,7.589446613565087e-05,0.09339583665132523,0.09340406209230423
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,right_lower_leg,238,1,1.342361111156265e-09,3.663824827526696e-05,1.1824959983641747e-05,2.45204155362444e-05,0.9999999403953552,1.0,1.1183889000676572e-05,5.685124506271677e-06,1.8833568901754916e-05,1.0956187907140702e-05,1.2674542631430086e-05,5.745997987105511e-05,2.3765307560097426e-05,0.10478848218917847,0.10479377210140228
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,head,238,1,6.796904816752658e-09,8.244334458140656e-05,1.8938511857413687e-05,4.2433464841451496e-05,0.9999997615814209,0.9999999403953552,1.5495157640543766e-05,5.983480605209479e-06,3.7957794120302424e-05,1.2874261301476508e-05,1.2902930393465795e-05,0.0001372365513816476,3.7287558370735496e-05,0.240939661860466,0.24094745516777039
centered_ma9_oracle,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,overall_leaf_only,238,1,1.4547592019908961e-09,3.814130468526855e-05,2.3680786398472264e-05,5.0125992856919765e-05,0.9999999403953552,0.9999998807907104,2.286591552547179e-05,1.1134354281239212e-05,3.6281584470998496e-05,2.362642226216849e-05,1.6122552551678382e-05,5.355839675758034e-05,3.515450225677341e-05,0.6150128245353699,0.6150153279304504
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,overall_leaf_only,269,1,0.8583920001983643,0.9264944791793823,0.7129021286964417,1.463989019393921,0.654399037361145,0.26190000772476196,1.1170214414596558,0.8624962568283081,0.4577995240688324,0.8184107542037964,1.0947120189666748,0.5739400386810303,1.023413062095642,1.822991132736206,0.7756072878837585
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,left_forearm,269,1,0.9221401810646057,0.9602813124656677,0.7349990606307983,1.5061819553375244,0.8756099343299866,0.8107105493545532,0.7184104323387146,0.8650602102279663,0.4827456474304199,0.8571912050247192,1.1200097799301147,0.6012287735939026,1.0726240873336792,3.165621042251587,2.7680790424346924
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,right_forearm,269,1,0.8496028780937195,0.9217390418052673,0.7158090472221375,1.4615356922149658,0.37647512555122375,0.25739970803260803,1.100225806236267,0.8582330346107483,0.4547847509384155,0.8344094157218933,1.0807082653045654,0.5656158328056335,1.0300276279449463,1.5622010231018066,0.487363338470459
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,left_lower_leg,269,1,0.797847330570221,0.893222987651825,0.6770089268684387,1.4090179204940796,0.08518585562705994,0.038656219840049744,1.2696870565414429,0.849387526512146,0.42710548639297485,0.7545336484909058,1.0672234296798706,0.5210528373718262,0.9915039539337158,1.413224220275879,0.14359496533870697
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,right_lower_leg,269,1,0.8991057872772217,0.9482119083404541,0.7253362536430359,1.4944419860839844,0.023693282157182693,0.0030334442853927612,1.3216123580932617,0.8674979209899902,0.46900996565818787,0.8395012021064758,1.123726487159729,0.6050437688827515,1.0336722135543823,1.4895992279052734,0.16798698902130127
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,head,269,1,0.8232638835906982,0.9073389172554016,0.7113574743270874,1.4487677812576294,0.23049765825271606,0.19970020651817322,1.1751716136932373,0.8723028302192688,0.45535168051719666,0.8064180612564087,1.0806907415390015,0.572769284248352,0.986830472946167,1.484309434890747,0.3110124468803406
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,overall_leaf_only,269,1,0.09505721926689148,0.3083135187625885,0.2174052894115448,0.47183364629745483,0.9302642941474915,0.40722498297691345,0.2892087996006012,0.3114071190357208,0.06620272248983383,0.27460598945617676,0.3986065983772278,0.09410849958658218,0.3426777124404907,0.9737866520881653,0.7426667809486389
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,left_forearm,269,1,0.1216132864356041,0.3487309515476227,0.2521202266216278,0.5362674593925476,0.9794424176216125,0.9529728889465332,0.20680344104766846,0.33127787709236145,0.09818778932094574,0.3268950581550598,0.4192105233669281,0.12466885894536972,0.4166054427623749,2.7486119270324707,2.7293503284454346
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,right_forearm,269,1,0.088251493871212,0.29707151651382446,0.20103146135807037,0.4334743320941925,0.8068825006484985,0.5368124842643738,0.2507236897945404,0.2950008809566498,0.05345987156033516,0.2546336352825165,0.39610058069229126,0.07079385966062546,0.3206978142261505,0.6544972658157349,0.4608634412288666
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,left_lower_leg,269,1,0.08467865735292435,0.2909959852695465,0.2071932554244995,0.45461490750312805,0.1904541701078415,0.11514777690172195,0.3486561179161072,0.30921053886413574,0.06584443151950836,0.24652479588985443,0.3904604911804199,0.11905261129140854,0.2956400513648987,0.4607190191745758,0.1142270416021347
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,right_lower_leg,269,1,0.09608077257871628,0.3099689781665802,0.21891798079013824,0.47728103399276733,0.08266430348157883,-0.006792619824409485,0.33834341168403625,0.3344385623931885,0.05688256025314331,0.26543280482292175,0.423090398311615,0.07022101432085037,0.3229641616344452,0.47103747725486755,0.13551688194274902
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,head,269,1,0.08466184884309769,0.29096710681915283,0.2077634632587433,0.4575307369232178,0.5161496996879578,0.4379844665527344,0.30151742696762085,0.28710779547691345,0.05663897469639778,0.2795436680316925,0.3610236942768097,0.06799592077732086,0.3449985384941101,0.5340674519538879,0.27337613701820374
centered_ma9_oracle,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::original,overall_leaf_only,269,1,0.0711020901799202,0.2666497528553009,0.19151677191257477,0.41249704360961914,0.9395183324813843,0.410028874874115,0.2528195381164551,0.27853119373321533,0.06644540280103683,0.2295738309621811,0.3521775007247925,0.08699734508991241,0.2858474552631378,0.8849002122879028,0.684628427028656
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::offset_aug_overlay,overall_leaf_only,269,1,1.142785848173844e-07,0.00033805114799179137,0.0002500872651580721,0.0005214599659666419,0.9999999403953552,0.9999916553497314,0.00024942189338617027,0.00015074848488438874,0.0003754491626750678,0.0002240640897070989,0.0001870940759545192,0.00047712938976474106,0.0002831591118592769,0.8000342845916748,0.8000368475914001
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::offset_aug_overlay,left_forearm,269,1,1.1940375088670407e-07,0.0003455484693404287,0.0002496827219147235,0.0005314304726198316,1.0,1.0,0.0002892433840315789,0.00014717294834554195,0.0004210755869280547,0.00018079961591865867,0.00018371637270320207,0.0005231238319538534,0.00022539090423379093,2.8274712562561035,2.8274714946746826
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_05_poses::offset_aug_overlay,right_forearm,269,1,1.4592461639040266e-07,0.0003820008132606745,0.00028451523394323885,0.0005920795956626534,0.9999994039535522,0.9999982714653015,0.00028330201166681945,0.00015774181520100683,0.00039674757863394916,0.0002990563225466758,0.00019186192366760224,0.0005105267628096044,0.0003746001166291535,0.4966126084327698,0.4966135621070862
